tracking_number,ship_date,????,????id,???,???,???
{61290989800520522250},4/26/2020,5/25/2020 7:47,1630,5.72,5.72,5.72
{61290989800521022223},5/30/2020,6/12/2020 4:40,1688,5.7,5.7,5.75
{61290989800520715522},5/13/2020,5/29/2020 6:00,1649,5.7,5.7,5.7
{61290989800520996686},5/27/2020,6/12/2020 1:34,1677,6.27,6.27,6.28
{61290989800520524209},4/26/2020,5/25/2020 8:09,1630,6.89,6.89,6.88
{61290989800521022544},5/30/2020,6/19/2020 2:24,1698,6.28,6.28,5.83
{61290989800520879378},5/16/2020,6/5/2020 2:04,1663,6.3,5.7,6.27
{61290989800521106077},6/10/2020,6/28/2020 3:15,1712,7.03,7.03,7.99
{61290989800521007336},5/28/2020,6/19/2020 2:25,1698,5.7,5.7,5.7
{61290989800520656153},5/7/2020,5/25/2020 7:36,1631,5.7,5.7,5.7
{61290989800520971966},5/25/2020,6/12/2020 2:09,1677,5.86,5.86,5.57
{61290989800520700214},5/12/2020,5/29/2020 5:53,1649,7.44,7.44,8.42
{61290989800520569934},4/30/2020,5/25/2020 7:53,1630,5.72,5.72,5.99
{61290989800520583312},5/1/2020,5/25/2020 7:27,1630,6.89,6.89,7.97
{61290989800520523639},4/26/2020,5/8/2020 0:47,1577,7.66,7.66,6.74
{61290989800520996655},5/27/2020,6/12/2020 1:44,1677,7.16,7.16,6.28
{61290989800520603751},5/4/2020,5/25/2020 7:27,1631,5.7,5.7,5.7
{61290989800521005950},5/28/2020,6/28/2020 3:13,1712,6.46,6.46,5.98
{61290989800521023084},5/30/2020,6/19/2020 2:38,1698,7.74,7.74,7.82
{61290989800520641555},5/6/2020,5/25/2020 7:28,1631,5.61,5.61,5.61
{61290989800520570916},4/30/2020,5/25/2020 7:48,1630,5.72,5.72,5.99
{61290989800520530309},4/27/2020,5/25/2020 7:29,1630,5.72,5.72,5.72
{61290989800520666954},5/8/2020,5/25/2020 7:37,1631,7.08,7.08,7.08
{61290989800520933230},5/21/2020,6/5/2020 2:28,1663,5.37,5.37,5.37
{61290989800521285833},6/18/2020,7/3/2020 5:45,1768,5.48,5.48,5.64
